text,label,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,steeming
Cowok kok nongkrong doang pengangguran ya,-1,"['Cowok', 'kok', 'nongkrong', 'doang', 'pengangguran', 'ya']",<FreqDist with 6 samples and 6 outcomes>,"['Cowok', 'nongkrong', 'doang', 'pengangguran']","['cowok', 'nongkrong', 'doang', 'anggur']"
 decided buat berenti sebelum tempat kejadian dan milih naik gojek lewat jalan belakang Gatega bgt kalo harus mgelintas di sana,1,"['decided', 'buat', 'berenti', 'sebelum', 'tempat', 'kejadian', 'dan', 'milih', 'naik', 'gojek', 'lewat', 'jalan', 'belakang', 'Gatega', 'bgt', 'kalo', 'harus', 'mgelintas', 'di', 'sana']",<FreqDist with 20 samples and 20 outcomes>,"['decided', 'berenti', 'kejadian', 'milih', 'gojek', 'jalan', 'Gatega', 'mgelintas']","['decided', 'renti', 'jadi', 'milih', 'gojek', 'jalan', 'gatega', 'mgelintas']"
Percaya deh sebagian orang pengen gojek makanan dan scroll lama tapi gak jadi beli bukan karna bingung makan apa,1,"['Percaya', 'deh', 'sebagian', 'orang', 'pengen', 'gojek', 'makanan', 'dan', 'scroll', 'lama', 'tapi', 'gak', 'jadi', 'beli', 'bukan', 'karna', 'bingung', 'makan', 'apa']",<FreqDist with 19 samples and 19 outcomes>,"['Percaya', 'pengen', 'gojek', 'makanan', 'scroll', 'beli', 'karna', 'bingung', 'makan']","['percaya', 'ken', 'gojek', 'makan', 'scroll', 'beli', 'karna', 'bingung', 'makan']"
aku kemarin make taxi nder dan bapaknyaa kek ngasih harganya sesuai app gojek grab huhu pas itu abis ujan jadi kena ribu itu jaraknya kiloan keknya,1,"['aku', 'kemarin', 'make', 'taxi', 'nder', 'dan', 'bapaknyaa', 'kek', 'ngasih', 'harganya', 'sesuai', 'app', 'gojek', 'grab', 'huhu', 'pas', 'itu', 'abis', 'ujan', 'jadi', 'kena', 'ribu', 'itu', 'jaraknya', 'kiloan', 'keknya']",<FreqDist with 25 samples and 26 outcomes>,"['kemarin', 'make', 'taxi', 'bapaknyaa', 'ngasih', 'harganya', 'sesuai', 'app', 'gojek', 'grab', 'huhu', 'pas', 'abis', 'ujan', 'ribu', 'jaraknya', 'kiloan', 'keknya']","['kemarin', 'make', 'taxi', 'bapaknyaa', 'ngasih', 'harga', 'sesuai', 'app', 'gojek', 'grab', 'huhu', 'pas', 'abis', 'ujan', 'ribu', 'jarak', 'kilo', 'kek']"
Goblo memasak itu jadi salah satu basic life skill biar idup ga boros amat,1,"['Goblo', 'memasak', 'itu', 'jadi', 'salah', 'satu', 'basic', 'life', 'skill', 'biar', 'idup', 'ga', 'boros', 'amat']",<FreqDist with 14 samples and 14 outcomes>,"['Goblo', 'memasak', 'salah', 'basic', 'life', 'skill', 'idup', 'boros']","['goblo', 'masak', 'salah', 'basic', 'life', 'skill', 'idup', 'boros']"
Driver Gojek di Jakarta ini hebat banget kalo nyari jalan tembusan lewat ganggang kecil jembatan sesempit shirot,1,"['Driver', 'Gojek', 'di', 'Jakarta', 'ini', 'hebat', 'banget', 'kalo', 'nyari', 'jalan', 'tembusan', 'lewat', 'ganggang', 'kecil', 'jembatan', 'sesempit', 'shirot']",<FreqDist with 17 samples and 17 outcomes>,"['Driver', 'Gojek', 'Jakarta', 'hebat', 'banget', 'nyari', 'jalan', 'tembusan', 'ganggang', 'jembatan', 'sesempit', 'shirot']","['driver', 'gojek', 'jakarta', 'hebat', 'banget', 'nyari', 'jalan', 'tembus', 'ganggang', 'jembatan', 'sempit', 'shirot']"
gojek banyak promo tapi aku ga punya uang,1,"['gojek', 'banyak', 'promo', 'tapi', 'aku', 'ga', 'punya', 'uang']",<FreqDist with 8 samples and 8 outcomes>,"['gojek', 'promo', 'uang']","['gojek', 'promo', 'uang']"
Macet bgt apa ya gojek  ga nyampe,-1,"['Macet', 'bgt', 'apa', 'ya', 'gojek', 'ga', 'nyampe']",<FreqDist with 7 samples and 7 outcomes>,"['Macet', 'gojek', 'nyampe']","['macet', 'gojek', 'nyampe']"
Ketika kalian lelah Dan ada gojek dateng bawain makan Rasanya ituuuu loooo,1,"['Ketika', 'kalian', 'lelah', 'Dan', 'ada', 'gojek', 'dateng', 'bawain', 'makan', 'Rasanya', 'ituuuu', 'loooo']",<FreqDist with 12 samples and 12 outcomes>,"['Ketika', 'lelah', 'Dan', 'gojek', 'dateng', 'bawain', 'makan', 'Rasanya', 'ituuuu', 'loooo']","['ketika', 'lelah', 'dan', 'gojek', 'dateng', 'bawain', 'makan', 'rasa', 'ituuuu', 'loooo']"
next buat promo gojekgrab buat pelajar dong,1,"['next', 'buat', 'promo', 'gojekgrab', 'buat', 'pelajar', 'dong']",<FreqDist with 6 samples and 7 outcomes>,"['next', 'promo', 'gojekgrab', 'pelajar']","['next', 'promo', 'gojekgrab', 'ajar']"
di gojek ada apaan,-1,"['di', 'gojek', 'ada', 'apaan']",<FreqDist with 4 samples and 4 outcomes>,['gojek'],['gojek']
aku abis duit buat gojek derita ga bisa bawa motor,-1,"['aku', 'abis', 'duit', 'buat', 'gojek', 'derita', 'ga', 'bisa', 'bawa', 'motor']",<FreqDist with 10 samples and 10 outcomes>,"['abis', 'duit', 'gojek', 'derita', 'bawa', 'motor']","['abis', 'duit', 'gojek', 'derita', 'bawa', 'motor']"
aku mrasa senang pas lagi badmood hari pertama full day sekolah trus pas pulang dapet driver gojek yg ramah skliii,1,"['aku', 'mrasa', 'senang', 'pas', 'lagi', 'badmood', 'hari', 'pertama', 'full', 'day', 'sekolah', 'trus', 'pas', 'pulang', 'dapet', 'driver', 'gojek', 'yg', 'ramah', 'skliii']",<FreqDist with 19 samples and 20 outcomes>,"['mrasa', 'senang', 'pas', 'badmood', 'full', 'day', 'sekolah', 'pas', 'pulang', 'dapet', 'driver', 'gojek', 'ramah', 'skliii']","['mrasa', 'senang', 'pas', 'badmood', 'full', 'day', 'sekolah', 'pas', 'pulang', 'dapet', 'driver', 'gojek', 'ramah', 'skliii']"
Tiap di ipoint liatnya bapak gojek apa grab,1,"['Tiap', 'di', 'ipoint', 'liatnya', 'bapak', 'gojek', 'apa', 'grab']",<FreqDist with 8 samples and 8 outcomes>,"['Tiap', 'ipoint', 'liatnya', 'gojek', 'grab']","['tiap', 'ipoint', 'liat', 'gojek', 'grab']"
Gojek soalnya enak,1,"['Gojek', 'soalnya', 'enak']",<FreqDist with 3 samples and 3 outcomes>,['Gojek'],['gojek']
lebih ke binun ini kenapa lewat gojek chatnya kalo mo main,1,"['lebih', 'ke', 'binun', 'ini', 'kenapa', 'lewat', 'gojek', 'chatnya', 'kalo', 'mo', 'main']",<FreqDist with 11 samples and 11 outcomes>,"['binun', 'gojek', 'chatnya', 'main']","['bun', 'gojek', 'chatnya', 'main']"
kangen mamang gojek yg nganterin dari gbk baik bgtttt diajak ngobrol dijalan jadi ga heningg,1,"['kangen', 'mamang', 'gojek', 'yg', 'nganterin', 'dari', 'gbk', 'baik', 'bgtttt', 'diajak', 'ngobrol', 'dijalan', 'jadi', 'ga', 'heningg']",<FreqDist with 15 samples and 15 outcomes>,"['kangen', 'mamang', 'gojek', 'nganterin', 'gbk', 'bgtttt', 'diajak', 'ngobrol', 'dijalan', 'heningg']","['kangen', 'mamang', 'gojek', 'nganterin', 'gbk', 'bgtttt', 'ajak', 'ngobrol', 'jalan', 'heningg']"
sempet binun ini chat aph deh kok gojek nih ngaps,1,"['sempet', 'binun', 'ini', 'chat', 'aph', 'deh', 'kok', 'gojek', 'nih', 'ngaps']",<FreqDist with 10 samples and 10 outcomes>,"['sempet', 'binun', 'chat', 'gojek', 'ngaps']","['sempet', 'bun', 'chat', 'gojek', 'ngaps']"
Gojek baru datang kereta baru berangkat juga haha,-1,"['Gojek', 'baru', 'datang', 'kereta', 'baru', 'berangkat', 'juga', 'haha']",<FreqDist with 7 samples and 8 outcomes>,"['Gojek', 'kereta', 'berangkat']","['gojek', 'kereta', 'berangkat']"
km kalau cape jalanin hidup naik gojek aja,1,"['km', 'kalau', 'cape', 'jalanin', 'hidup', 'naik', 'gojek', 'aja']",<FreqDist with 8 samples and 8 outcomes>,"['cape', 'jalanin', 'hidup', 'gojek']","['cape', 'jalanin', 'hidup', 'gojek']"
Klo sama aku belinya di gojek starbuck  dapet lt sampe kembung,1,"['Klo', 'sama', 'aku', 'belinya', 'di', 'gojek', 'starbuck', 'dapet', 'lt', 'sampe', 'kembung']",<FreqDist with 11 samples and 11 outcomes>,"['Klo', 'belinya', 'gojek', 'starbuck', 'dapet', 'lt', 'sampe', 'kembung']","['klo', 'beli', 'gojek', 'starbuck', 'dapet', 'lt', 'sampe', 'kembung']"
Dengan santainya order gojek jam eh taunya jadwal keretanya jam jarak rumah ke stasiun kurang lebih menit haha acungi jempol buat kebodohan ini,1,"['Dengan', 'santainya', 'order', 'gojek', 'jam', 'eh', 'taunya', 'jadwal', 'keretanya', 'jam', 'jarak', 'rumah', 'ke', 'stasiun', 'kurang', 'lebih', 'menit', 'haha', 'acungi', 'jempol', 'buat', 'kebodohan', 'ini']",<FreqDist with 22 samples and 23 outcomes>,"['Dengan', 'santainya', 'order', 'gojek', 'jam', 'taunya', 'jadwal', 'keretanya', 'jam', 'jarak', 'rumah', 'stasiun', 'menit', 'acungi', 'jempol', 'kebodohan']","['dengan', 'santai', 'order', 'gojek', 'jam', 'tau', 'jadwal', 'kereta', 'jam', 'jarak', 'rumah', 'stasiun', 'menit', 'acung', 'jempol', 'bodoh']"
Mau nutup layanan Google berarti Gofood Gojek Grabfood Grab dan semua apps dengan layanan berbasis lokasi tidak bisa jalan Keren,-1,"['Mau', 'nutup', 'layanan', 'Google', 'berarti', 'Gofood', 'Gojek', 'Grabfood', 'Grab', 'dan', 'semua', 'apps', 'dengan', 'layanan', 'berbasis', 'lokasi', 'tidak', 'bisa', 'jalan', 'Keren']",<FreqDist with 19 samples and 20 outcomes>,"['Mau', 'nutup', 'layanan', 'Google', 'Gofood', 'Gojek', 'Grabfood', 'Grab', 'apps', 'layanan', 'berbasis', 'lokasi', 'jalan', 'Keren']","['mau', 'nutup', 'layan', 'google', 'gofood', 'gojek', 'grabfood', 'grab', 'apps', 'layan', 'bas', 'lokasi', 'jalan', 'keren']"
Yalord cpt mati deh manusia gini Sama  aja pelit banget Tipe org yang ga pernah ngasih tips ke abang ,-1,"['Yalord', 'cpt', 'mati', 'deh', 'manusia', 'gini', 'Sama', 'aja', 'pelit', 'banget', 'Tipe', 'org', 'yang', 'ga', 'pernah', 'ngasih', 'tips', 'ke', 'abang']",<FreqDist with 19 samples and 19 outcomes>,"['Yalord', 'cpt', 'mati', 'manusia', 'gini', 'Sama', 'pelit', 'banget', 'Tipe', 'ngasih', 'tips', 'abang']","['yalord', 'cpt', 'mati', 'manusia', 'gin', 'sama', 'pelit', 'banget', 'tipe', 'ngasih', 'tips', 'abang']"
HELLO INI GOJEK KNP MAHAL BGT,-1,"['HELLO', 'INI', 'GOJEK', 'KNP', 'MAHAL', 'BGT']",<FreqDist with 6 samples and 6 outcomes>,"['HELLO', 'INI', 'GOJEK', 'KNP', 'MAHAL', 'BGT']","['hello', 'ini', 'gojek', 'knp', 'mahal', 'bgt']"
lah itu ada gojek,1,"['lah', 'itu', 'ada', 'gojek']",<FreqDist with 4 samples and 4 outcomes>,['gojek'],['gojek']
Info promo gojek daerah malang dong nder,1,"['Info', 'promo', 'gojek', 'daerah', 'malang', 'dong', 'nder']",<FreqDist with 7 samples and 7 outcomes>,"['Info', 'promo', 'gojek', 'daerah', 'malang']","['info', 'promo', 'gojek', 'daerah', 'malang']"
gojek Masih ada kak Bisa dom malang,1,"['gojek', 'Masih', 'ada', 'kak', 'Bisa', 'dom', 'malang']",<FreqDist with 7 samples and 7 outcomes>,"['gojek', 'Masih', 'Bisa', 'dom', 'malang']","['gojek', 'masih', 'bisa', 'dom', 'malang']"
Selamat pagi dalam episode tidur di gojek,1,"['Selamat', 'pagi', 'dalam', 'episode', 'tidur', 'di', 'gojek']",<FreqDist with 7 samples and 7 outcomes>,"['Selamat', 'pagi', 'episode', 'tidur', 'gojek']","['selamat', 'pagi', 'episode', 'tidur', 'gojek']"
kenapa akunku nggak pernah ada promo apapun sekarang Pdhl sering bgt pake gojek,-1,"['kenapa', 'akunku', 'nggak', 'pernah', 'ada', 'promo', 'apapun', 'sekarang', 'Pdhl', 'sering', 'bgt', 'pake', 'gojek']",<FreqDist with 13 samples and 13 outcomes>,"['akunku', 'nggak', 'promo', 'apapun', 'Pdhl', 'pake', 'gojek']","['akun', 'nggak', 'promo', 'apa', 'pdhl', 'pake', 'gojek']"
nangis di gojek masih pagi dengan terik matahari another level of pain,-1,"['nangis', 'di', 'gojek', 'masih', 'pagi', 'dengan', 'terik', 'matahari', 'another', 'level', 'of', 'pain']",<FreqDist with 12 samples and 12 outcomes>,"['nangis', 'gojek', 'pagi', 'terik', 'matahari', 'another', 'level', 'pain']","['nang', 'gojek', 'pagi', 'terik', 'matahari', 'another', 'level', 'pain']"
RT ma gojek mulu ma km kpn,-1,"['RT', 'ma', 'gojek', 'mulu', 'ma', 'km', 'kpn']",<FreqDist with 6 samples and 7 outcomes>,"['RT', 'gojek', 'mulu']","['rt', 'gojek', 'mulu']"
ifstalk abg gojek nya belum bisa move on,-1,"['ifstalk', 'abg', 'gojek', 'nya', 'belum', 'bisa', 'move', 'on']",<FreqDist with 8 samples and 8 outcomes>,"['ifstalk', 'abg', 'gojek', 'move']","['ifstalk', 'abg', 'gojek', 'move']"
RT Apa daya akun gojek gua tidak wangi alias gapernah dapet promopromo,-1,"['RT', 'Apa', 'daya', 'akun', 'gojek', 'gua', 'tidak', 'wangi', 'alias', 'gapernah', 'dapet', 'promopromo']",<FreqDist with 12 samples and 12 outcomes>,"['RT', 'Apa', 'daya', 'akun', 'gojek', 'gua', 'wangi', 'alias', 'gapernah', 'dapet', 'promopromo']","['rt', 'apa', 'daya', 'akun', 'gojek', 'gua', 'wangi', 'alias', 'gapernah', 'dapet', 'promopromo']"
Kan ada grab gojek Jangan nebeng terus,1,"['Kan', 'ada', 'grab', 'gojek', 'Jangan', 'nebeng', 'terus']",<FreqDist with 7 samples and 7 outcomes>,"['Kan', 'grab', 'gojek', 'Jangan', 'nebeng']","['kan', 'grab', 'gojek', 'jangan', 'nebeng']"
abang gojek,1,"['abang', 'gojek']",<FreqDist with 2 samples and 2 outcomes>,"['abang', 'gojek']","['abang', 'gojek']"
Nih gojek liat spion mulu apa ga pegel palanya pfft,-1,"['Nih', 'gojek', 'liat', 'spion', 'mulu', 'apa', 'ga', 'pegel', 'palanya', 'pfft']",<FreqDist with 10 samples and 10 outcomes>,"['Nih', 'gojek', 'liat', 'spion', 'mulu', 'pegel', 'palanya', 'pfft']","['nih', 'gojek', 'liat', 'spion', 'mulu', 'gel', 'pala', 'pfft']"
Gue ampe dulu mau healing sendiri ke sbux mesennya di gojek soalnya kalau ke sbux selalu nyokap atau kakak gue yg mesenin,1,"['Gue', 'ampe', 'dulu', 'mau', 'healing', 'sendiri', 'ke', 'sbux', 'mesennya', 'di', 'gojek', 'soalnya', 'kalau', 'ke', 'sbux', 'selalu', 'nyokap', 'atau', 'kakak', 'gue', 'yg', 'mesenin']",<FreqDist with 20 samples and 22 outcomes>,"['Gue', 'healing', 'sbux', 'mesennya', 'gojek', 'sbux', 'nyokap', 'kakak', 'gue', 'mesenin']","['gue', 'healing', 'sbux', 'mesennya', 'gojek', 'sbux', 'nyokap', 'kakak', 'gue', 'mesenin']"
emang sih kemarin bilangnya nanti pake telfon sekolah atau pinjem hp bu cam aja kalo mau pake gojek TAPI SUNGKAN BANGSAT GIMANA YA,-1,"['emang', 'sih', 'kemarin', 'bilangnya', 'nanti', 'pake', 'telfon', 'sekolah', 'atau', 'pinjem', 'hp', 'bu', 'cam', 'aja', 'kalo', 'mau', 'pake', 'gojek', 'TAPI', 'SUNGKAN', 'BANGSAT', 'GIMANA', 'YA']",<FreqDist with 22 samples and 23 outcomes>,"['emang', 'kemarin', 'bilangnya', 'pake', 'telfon', 'sekolah', 'pinjem', 'hp', 'bu', 'pake', 'gojek', 'TAPI', 'SUNGKAN', 'BANGSAT', 'GIMANA', 'YA']","['emang', 'kemarin', 'bilang', 'pake', 'telfon', 'sekolah', 'pinjem', 'hp', 'bu', 'pake', 'gojek', 'tapi', 'sungkan', 'bangsat', 'gimana', 'ya']"
itu pun chat gue dulu kalo papa gabisa gue harus naik gojek otomatis telfon chat papa dulu lah ini malah gak boleh bawa hp ya Allah,1,"['itu', 'pun', 'chat', 'gue', 'dulu', 'kalo', 'papa', 'gabisa', 'gue', 'harus', 'naik', 'gojek', 'otomatis', 'telfon', 'chat', 'papa', 'dulu', 'lah', 'ini', 'malah', 'gak', 'boleh', 'bawa', 'hp', 'ya', 'Allah']",<FreqDist with 22 samples and 26 outcomes>,"['chat', 'gue', 'papa', 'gabisa', 'gue', 'gojek', 'otomatis', 'telfon', 'chat', 'papa', 'bawa', 'hp', 'Allah']","['chat', 'gue', 'papa', 'gabisa', 'gue', 'gojek', 'otomatis', 'telfon', 'chat', 'papa', 'bawa', 'hp', 'allah']"
Ya iya kan pas naik gojek berasa mandiri bgt tuh,1,"['Ya', 'iya', 'kan', 'pas', 'naik', 'gojek', 'berasa', 'mandiri', 'bgt', 'tuh']",<FreqDist with 10 samples and 10 outcomes>,"['Ya', 'pas', 'gojek', 'berasa', 'mandiri']","['ya', 'pas', 'gojek', 'asa', 'mandiri']"
kayaknya ini temennya chat di aplikasi gojek pura pura jadi driver gitu jadi dikira mesen,-1,"['kayaknya', 'ini', 'temennya', 'chat', 'di', 'aplikasi', 'gojek', 'pura', 'pura', 'jadi', 'driver', 'gitu', 'jadi', 'dikira', 'mesen']",<FreqDist with 13 samples and 15 outcomes>,"['kayaknya', 'temennya', 'chat', 'aplikasi', 'gojek', 'pura', 'pura', 'driver', 'mesen']","['kayak', 'temennya', 'chat', 'aplikasi', 'gojek', 'pura', 'pura', 'driver', 'mesen']"
Minta anter gojek soalnya cape berenang ga nyampe,1,"['Minta', 'anter', 'gojek', 'soalnya', 'cape', 'berenang', 'ga', 'nyampe']",<FreqDist with 8 samples and 8 outcomes>,"['Minta', 'anter', 'gojek', 'cape', 'berenang', 'nyampe']","['minta', 'anter', 'gojek', 'cape', 'renang', 'nyampe']"
vc gojek yang goride,1,"['vc', 'gojek', 'yang', 'goride']",<FreqDist with 4 samples and 4 outcomes>,"['vc', 'gojek', 'goride']","['vc', 'gojek', 'goride']"
Pas naik gojek wkwkwkwk,1,"['Pas', 'naik', 'gojek', 'wkwkwkwk']",<FreqDist with 4 samples and 4 outcomes>,"['Pas', 'gojek', 'wkwkwkwk']","['pas', 'gojek', 'wkwkwkwk']"
gojek Halo masih ada ga nih,1,"['gojek', 'Halo', 'masih', 'ada', 'ga', 'nih']",<FreqDist with 6 samples and 6 outcomes>,"['gojek', 'Halo']","['gojek', 'halo']"
Kayanya akun akun yg jarang promo jarang make gojek juga deh soalnya  sering bgt pake gojek tiap hari ada aja promo Awal awal make emng ga ada promo tapi lama lama ada Kalo kalian royal sama gojek gojek juga royal sama kalean,1,"['Kayanya', 'akun', 'akun', 'yg', 'jarang', 'promo', 'jarang', 'make', 'gojek', 'juga', 'deh', 'soalnya', 'sering', 'bgt', 'pake', 'gojek', 'tiap', 'hari', 'ada', 'aja', 'promo', 'Awal', 'awal', 'make', 'emng', 'ga', 'ada', 'promo', 'tapi', 'lama', 'lama', 'ada', 'Kalo', 'kalian', 'royal', 'sama', 'gojek', 'gojek', 'juga', 'royal', 'sama', 'kalean']",<FreqDist with 28 samples and 42 outcomes>,"['Kayanya', 'akun', 'akun', 'jarang', 'promo', 'jarang', 'make', 'gojek', 'pake', 'gojek', 'promo', 'Awal', 'make', 'promo', 'Kalo', 'royal', 'gojek', 'gojek', 'royal', 'kalean']","['kaya', 'akun', 'akun', 'jarang', 'promo', 'jarang', 'make', 'gojek', 'pake', 'gojek', 'promo', 'awal', 'make', 'promo', 'kalo', 'royal', 'gojek', 'gojek', 'royal', 'kalean']"
ga keliatan sih kalo malem tapi jaga ajah kmrn endingnya aku tetep naik gojek soalnya tj penuhnya ga wajar,1,"['ga', 'keliatan', 'sih', 'kalo', 'malem', 'tapi', 'jaga', 'ajah', 'kmrn', 'endingnya', 'aku', 'tetep', 'naik', 'gojek', 'soalnya', 'tj', 'penuhnya', 'ga', 'wajar']",<FreqDist with 18 samples and 19 outcomes>,"['keliatan', 'malem', 'jaga', 'ajah', 'kmrn', 'endingnya', 'tetep', 'gojek', 'tj', 'penuhnya', 'wajar']","['liat', 'malem', 'jaga', 'ajah', 'kmrn', 'endingnya', 'tetep', 'gojek', 'tj', 'penuh', 'wajar']"
Wtb promo gojek atau grab dong,1,"['Wtb', 'promo', 'gojek', 'atau', 'grab', 'dong']",<FreqDist with 6 samples and 6 outcomes>,"['Wtb', 'promo', 'gojek', 'grab']","['wtb', 'promo', 'gojek', 'grab']"
Ojek maksud gue jaman gitu belum ada gojek,-1,"['Ojek', 'maksud', 'gue', 'jaman', 'gitu', 'belum', 'ada', 'gojek']",<FreqDist with 8 samples and 8 outcomes>,"['Ojek', 'gue', 'jaman', 'gojek']","['ojek', 'gue', 'jaman', 'gojek']"
ikhwan Lebih ke gojek si,1,"['ikhwan', 'Lebih', 'ke', 'gojek', 'si']",<FreqDist with 5 samples and 5 outcomes>,"['ikhwan', 'Lebih', 'gojek']","['ikhwan', 'lebih', 'gojek']"
Jaman sekolah gue banget ini seneng pulang sore habis naik angkot jalan kaki sampe rumah Kalo kemalaman gonceng sama temen naik gojek wkwk kalo rame pol numpang mobil pick up orang,1,"['Jaman', 'sekolah', 'gue', 'banget', 'ini', 'seneng', 'pulang', 'sore', 'habis', 'naik', 'angkot', 'jalan', 'kaki', 'sampe', 'rumah', 'Kalo', 'kemalaman', 'gonceng', 'sama', 'temen', 'naik', 'gojek', 'wkwk', 'kalo', 'rame', 'pol', 'numpang', 'mobil', 'pick', 'up', 'orang']",<FreqDist with 30 samples and 31 outcomes>,"['Jaman', 'sekolah', 'gue', 'banget', 'seneng', 'pulang', 'sore', 'habis', 'angkot', 'jalan', 'kaki', 'sampe', 'rumah', 'Kalo', 'kemalaman', 'gonceng', 'temen', 'gojek', 'rame', 'numpang', 'mobil', 'pick', 'up']","['jaman', 'sekolah', 'gue', 'banget', 'neng', 'pulang', 'sore', 'habis', 'angkot', 'jalan', 'kaki', 'sampe', 'rumah', 'kalo', 'malam', 'gonceng', 'temen', 'gojek', 'rame', 'numpang', 'mobil', 'pick', 'up']"
emang itali ada gojek,1,"['emang', 'itali', 'ada', 'gojek']",<FreqDist with 4 samples and 4 outcomes>,"['emang', 'itali', 'gojek']","['emang', 'itali', 'gojek']"
pesan gojek pas buruburu drivernya malah dapat yang jauh banget Giliran lagi nyantai drivernya ngga jauh dari,-1,"['pesan', 'gojek', 'pas', 'buruburu', 'drivernya', 'malah', 'dapat', 'yang', 'jauh', 'banget', 'Giliran', 'lagi', 'nyantai', 'drivernya', 'ngga', 'jauh', 'dari']",<FreqDist with 15 samples and 17 outcomes>,"['pesan', 'gojek', 'pas', 'buruburu', 'drivernya', 'banget', 'Giliran', 'nyantai', 'drivernya', 'ngga']","['pesan', 'gojek', 'pas', 'buruburu', 'drivernya', 'banget', 'gilir', 'nyantai', 'drivernya', 'ngga']"
Bisanya kena driver gojek yg sama,1,"['Bisanya', 'kena', 'driver', 'gojek', 'yg', 'sama']",<FreqDist with 6 samples and 6 outcomes>,"['Bisanya', 'driver', 'gojek']","['bisa', 'driver', 'gojek']"
Tadi nunggu menit grgr gojek nya salah terus gregetan bgttt,-1,"['Tadi', 'nunggu', 'menit', 'grgr', 'gojek', 'nya', 'salah', 'terus', 'gregetan', 'bgttt']",<FreqDist with 10 samples and 10 outcomes>,"['Tadi', 'nunggu', 'menit', 'grgr', 'gojek', 'salah', 'gregetan', 'bgttt']","['tadi', 'nunggu', 'menit', 'grgr', 'gojek', 'salah', 'gregetan', 'bgttt']"
Bisa ga si ngajuin ke google maps kalo mau ke rumah gue tuh maps nya jangan diarahin ke portal terus cape bgt tiap,-1,"['Bisa', 'ga', 'si', 'ngajuin', 'ke', 'google', 'maps', 'kalo', 'mau', 'ke', 'rumah', 'gue', 'tuh', 'maps', 'nya', 'jangan', 'diarahin', 'ke', 'portal', 'terus', 'cape', 'bgt', 'tiap']",<FreqDist with 20 samples and 23 outcomes>,"['Bisa', 'ngajuin', 'google', 'maps', 'rumah', 'gue', 'maps', 'diarahin', 'portal', 'cape']","['bisa', 'ngajuin', 'google', 'maps', 'rumah', 'gue', 'maps', 'diarahin', 'portal', 'cape']"
BSBSNYA GUE PAGI MELEYOT GEGARA LIAT ABANG GOJEK SENYUM KE PAKPOL PADAHAL GAK KE GUE TP MANIS BEUDH AAAAAKH,1,"['BSBSNYA', 'GUE', 'PAGI', 'MELEYOT', 'GEGARA', 'LIAT', 'ABANG', 'GOJEK', 'SENYUM', 'KE', 'PAKPOL', 'PADAHAL', 'GAK', 'KE', 'GUE', 'TP', 'MANIS', 'BEUDH', 'AAAAAKH']",<FreqDist with 17 samples and 19 outcomes>,"['BSBSNYA', 'GUE', 'PAGI', 'MELEYOT', 'GEGARA', 'LIAT', 'ABANG', 'GOJEK', 'SENYUM', 'KE', 'PAKPOL', 'PADAHAL', 'GAK', 'KE', 'GUE', 'TP', 'MANIS', 'BEUDH', 'AAAAAKH']","['bsbsnya', 'gue', 'pagi', 'leyot', 'gegara', 'liat', 'abang', 'gojek', 'senyum', 'ke', 'pakpol', 'padahal', 'gak', 'ke', 'gue', 'tp', 'manis', 'beudh', 'aaaaakh']"
kim waw deket banget aku di jkt bisa naik gojek ngga aku ke sana btw keliatannya enak bangettttt selamat makan yaaa,1,"['kim', 'waw', 'deket', 'banget', 'aku', 'di', 'jkt', 'bisa', 'naik', 'gojek', 'ngga', 'aku', 'ke', 'sana', 'btw', 'keliatannya', 'enak', 'bangettttt', 'selamat', 'makan', 'yaaa']",<FreqDist with 20 samples and 21 outcomes>,"['kim', 'waw', 'deket', 'banget', 'jkt', 'gojek', 'ngga', 'keliatannya', 'bangettttt', 'selamat', 'makan']","['kim', 'waw', 'deket', 'banget', 'jkt', 'gojek', 'ngga', 'liat', 'bangettttt', 'selamat', 'makan']"
nasib orang rumah sibuk kalo dihubungin mau gamau harus nge gojek,-1,"['nasib', 'orang', 'rumah', 'sibuk', 'kalo', 'dihubungin', 'mau', 'gamau', 'harus', 'nge', 'gojek']",<FreqDist with 11 samples and 11 outcomes>,"['nasib', 'rumah', 'sibuk', 'dihubungin', 'gamau', 'gojek']","['nasib', 'rumah', 'sibuk', 'dihubungin', 'gamau', 'gojek']"
ada kok mas di grab sama gojek tiap habis nuruninselesai in orderan pasti disuruh kasih rating customer baru rating app,1,"['ada', 'kok', 'mas', 'di', 'grab', 'sama', 'gojek', 'tiap', 'habis', 'nuruninselesai', 'in', 'orderan', 'pasti', 'disuruh', 'kasih', 'rating', 'customer', 'baru', 'rating', 'app']",<FreqDist with 19 samples and 20 outcomes>,"['grab', 'gojek', 'habis', 'nuruninselesai', 'orderan', 'disuruh', 'kasih', 'rating', 'customer', 'rating', 'app']","['grab', 'gojek', 'habis', 'nuruninselesai', 'order', 'suruh', 'kasih', 'rating', 'customer', 'rating', 'app']"
bomnall Kerasanya pas naik gojek sih kalau kena kulit jadi perih,-1,"['bomnall', 'Kerasanya', 'pas', 'naik', 'gojek', 'sih', 'kalau', 'kena', 'kulit', 'jadi', 'perih']",<FreqDist with 11 samples and 11 outcomes>,"['bomnall', 'Kerasanya', 'pas', 'gojek', 'kulit', 'perih']","['bomnall', 'rasa', 'pas', 'gojek', 'kulit', 'perih']"
